state,year,ev_count
Alabama,2016,500
Alaska,2016,200
Arizona,2016,4700
Arkansas,2016,200
California,2016,141500
Colorado,2016,5300
Connecticut,2016,2000
Delaware,2016,300
District of Columbia,2016,600
Florida,2016,11600
Georgia,2016,18000
Hawaii,2016,4200
Idaho,2016,400
Illinois,2016,5800
Indiana,2016,1300
Iowa,2016,400
Kansas,2016,600
Kentucky,2016,500
Louisiana,2016,400
Maine,2016,300
Maryland,2016,3200
Massachusetts,2016,3600
Michigan,2016,1600
Minnesota,2016,1600
Mississippi,2016,100
Missouri,2016,1400
Montana,2016,200
Nebraska,2016,300
Nevada,2016,2000
New Hampshire,2016,400
New Jersey,2016,4200
New Mexico,2016,500
New York,2016,6100
North Carolina,2016,2900
North Dakota,2016,0
Ohio,2016,2600
Oklahoma,2016,600
Oregon,2016,7700
Pennsylvania,2016,3200
Rhode Island,2016,300
South Carolina,2016,800
South Dakota,2016,100
Tennessee,2016,2600
Texas,2016,11900
Utah,2016,2500
Vermont,2016,300
Virginia,2016,3100
Washington,2016,14900
West Virginia,2016,100
Wisconsin,2016,2600
Wyoming,2016,100
United States,2016,280300
Alabama,2017,800
Alaska,2017,400
Arizona,2017,7200
Arkansas,2017,300
California,2017,189700
Colorado,2017,8000
Connecticut,2017,3000
Delaware,2017,400
District of Columbia,2017,800
Florida,2017,15900
Georgia,2017,14400
Hawaii,2017,5400
Idaho,2017,700
Illinois,2017,8300
Indiana,2017,1900
Iowa,2017,600
Kansas,2017,1000
Kentucky,2017,700
Louisiana,2017,600
Maine,2017,500
Maryland,2017,4400
Massachusetts,2017,5600
Michigan,2017,2500
Minnesota,2017,2300
Mississippi,2017,200
Missouri,2017,2100
Montana,2017,300
Nebraska,2017,500
Nevada,2017,3100
New Hampshire,2017,600
New Jersey,2017,6900
New Mexico,2017,700
New York,2017,9400
North Carolina,2017,4400
North Dakota,2017,100
Ohio,2017,3700
Oklahoma,2017,1200
Oregon,2017,10000
Pennsylvania,2017,4400
Rhode Island,2017,400
South Carolina,2017,1200
South Dakota,2017,100
Tennessee,2017,2900
Texas,2017,16100
Utah,2017,3600
Vermont,2017,700
Virginia,2017,5100
Washington,2017,21000
West Virginia,2017,100
Wisconsin,2017,2800
Wyoming,2017,100
United States,2017,377100
Alabama,2018,1300
Alaska,2018,500
Arizona,2018,12600
Arkansas,2018,600
California,2018,273500
Colorado,2018,12500
Connecticut,2018,5000
Delaware,2018,800
District of Columbia,2018,1100
Florida,2018,27400
Georgia,2018,15900
Hawaii,2018,6600
Idaho,2018,1100
Illinois,2018,13600
Indiana,2018,3400
Iowa,2018,1100
Kansas,2018,1700
Kentucky,2018,1200
Louisiana,2018,900
Maine,2018,800
Maryland,2018,8400
Massachusetts,2018,10300
Michigan,2018,4200
Minnesota,2018,4900
Mississippi,2018,300
Missouri,2018,3500
Montana,2018,500
Nebraska,2018,900
Nevada,2018,5100
New Hampshire,2018,1200
New Jersey,2018,13400
New Mexico,2018,1300
New York,2018,15500
North Carolina,2018,7300
North Dakota,2018,100
Ohio,2018,6400
Oklahoma,2018,3700
Oregon,2018,13800
Pennsylvania,2018,8000
Rhode Island,2018,700
South Carolina,2018,2000
South Dakota,2018,200
Tennessee,2018,3900
Texas,2018,24500
Utah,2018,5600
Vermont,2018,1100
Virginia,2018,9900
Washington,2018,30200
West Virginia,2018,200
Wisconsin,2018,3700
Wyoming,2018,200
United States,2018,572600
Alabama,2019,2000
Alaska,2019,700
Arizona,2019,19500
Arkansas,2019,900
California,2019,349700
Colorado,2019,19200
Connecticut,2019,6900
Delaware,2019,1300
District of Columbia,2019,1800
Florida,2019,40300
Georgia,2019,19000
Hawaii,2019,8800
Idaho,2019,1600
Illinois,2019,19300
Indiana,2019,5100
Iowa,2019,1600
Kansas,2019,2300
Kentucky,2019,1900
Louisiana,2019,1400
Maine,2019,1300
Maryland,2019,13200
Massachusetts,2019,14100
Michigan,2019,6600
Minnesota,2019,7700
Mississippi,2019,500
Missouri,2019,4900
Montana,2019,700
Nebraska,2019,1300
Nevada,2019,7900
New Hampshire,2019,1900
New Jersey,2019,20200
New Mexico,2019,1900
New York,2019,23000
North Carolina,2019,11600
North Dakota,2019,200
Ohio,2019,10200
Oklahoma,2019,3400
Oregon,2019,18800
Pennsylvania,2019,12000
Rhode Island,2019,1100
South Carolina,2019,3000
South Dakota,2019,300
Tennessee,2019,5700
Texas,2019,38400
Utah,2019,8000
Vermont,2019,1700
Virginia,2019,15000
Washington,2019,40400
West Virginia,2019,400
Wisconsin,2019,4700
Wyoming,2019,200
United States,2019,783600
Alabama,2020,2900
Alaska,2020,900
Arizona,2020,28800
Arkansas,2020,1300
California,2020,425300
Colorado,2020,24700
Connecticut,2020,9000
Delaware,2020,1900
District of Columbia,2020,2400
Florida,2020,58200
Georgia,2020,23500
Hawaii,2020,10700
Idaho,2020,2300
Illinois,2020,26000
Indiana,2020,7000
Iowa,2020,2300
Kansas,2020,3100
Kentucky,2020,2600
Louisiana,2020,2000
Maine,2020,1900
Maryland,2020,18000
Massachusetts,2020,21000
Michigan,2020,10600
Minnesota,2020,10400
Mississippi,2020,800
Missouri,2020,6700
Montana,2020,900
Nebraska,2020,1800
Nevada,2020,11000
New Hampshire,2020,2700
New Jersey,2020,30400
New Mexico,2020,2600
New York,2020,32600
North Carolina,2020,16200
North Dakota,2020,200
Ohio,2020,14500
Oklahoma,2020,3400
Oregon,2020,22800
Pennsylvania,2020,17500
Rhode Island,2020,1600
South Carolina,2020,4400
South Dakota,2020,400
Tennessee,2020,7800
Texas,2020,52200
Utah,2020,11200
Vermont,2020,2200
Virginia,2020,20500
Washington,2020,50500
West Virginia,2020,600
Wisconsin,2020,6300
Wyoming,2020,300
United States,2020,1018900
Alabama,2021,4700
Alaska,2021,1300
Arizona,2021,40700
Arkansas,2021,2400
California,2021,563100
Colorado,2021,37000
Connecticut,2021,13300
Delaware,2021,3000
District of Columbia,2021,3700
Florida,2021,95600
Georgia,2021,34000
Hawaii,2021,14200
Idaho,2021,3500
Illinois,2021,36500
Indiana,2021,10400
Iowa,2021,3700
Kansas,2021,4500
Kentucky,2021,4200
Louisiana,2021,3200
Maine,2021,3000
Maryland,2021,25600
Massachusetts,2021,30500
Michigan,2021,17500
Minnesota,2021,15000
Mississippi,2021,1300
Missouri,2021,10000
Montana,2021,1600
Nebraska,2021,2700
Nevada,2021,17400
New Hampshire,2021,4000
New Jersey,2021,47800
New Mexico,2021,4200
New York,2021,51900
North Carolina,2021,25200
North Dakota,2021,400
Ohio,2021,21200
Oklahoma,2021,7100
Oregon,2021,30300
Pennsylvania,2021,26800
Rhode Island,2021,2500
South Carolina,2021,7400
South Dakota,2021,700
Tennessee,2021,12200
Texas,2021,80900
Utah,2021,16500
Vermont,2021,3400
Virginia,2021,30700
Washington,2021,66800
West Virginia,2021,1000
Wisconsin,2021,9300
Wyoming,2021,500
United States,2021,1454400
Alabama,2022,8700
Alaska,2022,2000
Arizona,2022,65800
Arkansas,2022,5100
California,2022,903600
Colorado,2022,59900
Connecticut,2022,22000
Delaware,2022,5400
District of Columbia,2022,5900
Florida,2022,168000
Georgia,2022,60100
Hawaii,2022,19800
Idaho,2022,5900
Illinois,2022,66900
Indiana,2022,17700
Iowa,2022,6200
Kansas,2022,7600
Kentucky,2022,7600
Louisiana,2022,5900
Maine,2022,5000
Maryland,2022,46100
Massachusetts,2022,49400
Michigan,2022,33100
Minnesota,2022,24300
Mississippi,2022,2400
Missouri,2022,17900
Montana,2022,3300
Nebraska,2022,4600
Nevada,2022,32900
New Hampshire,2022,7000
New Jersey,2022,87000
New Mexico,2022,7100
New York,2022,84700
North Carolina,2022,45600
North Dakota,2022,600
Ohio,2022,34100
Oklahoma,2022,16300
Oregon,2022,47000
Pennsylvania,2022,47400
Rhode Island,2022,4300
South Carolina,2022,13500
South Dakota,2022,1200
Tennessee,2022,22000
Texas,2022,149000
Utah,2022,28000
Vermont,2022,5300
Virginia,2022,56600
Washington,2022,104100
West Virginia,2022,1900
Wisconsin,2022,15700
Wyoming,2022,800
United States,2022,2442300
Alabama,2023,13000
Alaska,2023,2700
Arizona,2023,89800
Arkansas,2023,7100
California,2023,1256600
Colorado,2023,90100
Connecticut,2023,31600
Delaware,2023,8400
District of Columbia,2023,8100
Florida,2023,254900
Georgia,2023,92400
Hawaii,2023,25600
Idaho,2023,8500
Illinois,2023,99600
Indiana,2023,26100
Iowa,2023,9000
Kansas,2023,11300
Kentucky,2023,11600
Louisiana,2023,8200
Maine,2023,7400
Maryland,2023,72100
Massachusetts,2023,73800
Michigan,2023,50300
Minnesota,2023,37100
Mississippi,2023,3600
Missouri,2023,26900
Montana,2023,4600
Nebraska,2023,6900
Nevada,2023,47400
New Hampshire,2023,9900
New Jersey,2023,134800
New Mexico,2023,10300
New York,2023,131300
North Carolina,2023,70200
North Dakota,2023,1000
Ohio,2023,50400
Oklahoma,2023,22800
Oregon,2023,64400
Pennsylvania,2023,70200
Rhode Island,2023,6400
South Carolina,2023,20900
South Dakota,2023,1700
Tennessee,2023,33200
Texas,2023,230100
Utah,2023,40000
Vermont,2023,7800
Virginia,2023,84900
Washington,2023,152100
West Virginia,2023,2800
Wisconsin,2023,24900
Wyoming,2023,1100
United States,2023,3555900
